FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363171.563829 RUNNING 3418112 3415614
1787363171.666996 RUNNING 3423232 3420559
1787363171.770169 RUNNING 3428352 3425503
1787363171.873816 RUNNING 3433472 3430448
1787363171.977643 RUNNING 3437568 3435441
1787363172.081312 RUNNING 3442688 3440433
1787363172.185916 RUNNING 3447808 
1787363172.289973 RUNNING 3452928 3450467
1787363172.396133 RUNNING 3458048 3455555
1787363172.499480 RUNNING 3463168 3460500
1787363172.604051 RUNNING 3468288 3465541
1787363172.707519 RUNNING 3473408 3470485
1787363172.810990 RUNNING 3477504 3475430
1787363172.915389 RUNNING 3482624 3480471
1787363173.018524 RUNNING 3487744 3485415
1787363173.121715 RUNNING 3492864 3490360
1787363173.225530 RUNNING 3497984 3495353
1787363173.329066 RUNNING  3500297
1787363173.432737 RUNNING 3508224 3505290
1787363173.538619 RUNNING 3513344 3510379
1787363173.643702 RUNNING 3518464 3515420
1787363173.747632 RUNNING 3522560 3520412
1787363173.854095 RUNNING 3527680 3525501
1787363173.957617 RUNNING 3532800 3530494
1787363174.060886 RUNNING 3537920 3535438
1787363174.164000 RUNNING 3543040 3540383
1787363174.267210 RUNNING 3548160 
1787363174.370607 RUNNING 3553280 3550320
1787363174.474319 RUNNING 3557376 3555313
1787363174.577885 RUNNING 3562496 3560258
1787363174.681043 RUNNING 3567616 3565202
1787363174.784434 RUNNING 3572736 3570195
1787363174.887666 RUNNING 3577856 3575140
1787363174.991398 RUNNING 3582976 3580132
1787363175.097395 RUNNING 3588096 3585221
1787363175.201428 RUNNING 3593216 3590214
1787363175.306056 RUNNING 3597312 3595206
1787363175.409614 RUNNING 3602432 3600199
1787363175.512692 RUNNING 3607552 3605144
1787363175.620781 RUNNING 3612672 3610328
1787363175.727438 RUNNING 3617792 3615465
1787363175.830669 RUNNING 3622912 3620410
1787363175.933826 RUNNING 3628032 3625354
1787363176.037058 RUNNING 3633152 3630299
1787363176.140725 RUNNING 3638272 3635292
1787363176.246949 RUNNING 3643392 3640380
1787363176.350787 RUNNING 3647488 3645373
1787363176.454063 RUNNING 3652608 3650318
1787363176.557467 RUNNING 3657728 3655262
1787363176.660812 RUNNING 3662848 3660255
1787363176.763912 RUNNING 3667968 3665200
1787363176.867040 RUNNING 3673088 3670144
1787363176.970361 RUNNING 3677184 3675089
1787363177.073953 RUNNING 3682304 3680082
1787363177.177129 RUNNING 3687424 3685026
1787363177.287811 RUNNING 3692544 3690355
1787363177.391773 RUNNING 3697664 3695348
1787363177.496126 RUNNING 3702784 3700341
1787363177.603183 RUNNING 3707904 3705477
1787363177.706327 RUNNING 3713024 3710422
1787363177.809450 RUNNING 3718144 3715367
1787363177.913019 RUNNING 3723264 3720359
1787363178.016891 RUNNING 3728384 
1787363178.120383 RUNNING 3732480 3730297
1787363178.223504 RUNNING 3737600 3735241
1787363178.326937 RUNNING 3742720 3740234
1787363178.430139 RUNNING 3747840 3745179
1787363178.533318 RUNNING 3752960 3750123
1787363178.636825 RUNNING 3758080 3755068
1787363178.740326 RUNNING 3762176 3760061
1787363178.843581 RUNNING 3767296 3765005
1787363178.946910 RUNNING 3772416 3769950
1787363179.051117 RUNNING 3777536 3774991
1787363179.157835 RUNNING 3782656 3780079
1787363179.261508 RUNNING 3787776 3785072
1787363179.364941 RUNNING 3792896 3790017
1787363179.468714 RUNNING 3798016 3795009
1787363179.572243 RUNNING 3802112 3800002
1787363179.675392 RUNNING 3807232 3804947
1787363179.778549 RUNNING 3812352 3809891
1787363179.881630 RUNNING 3817472 3814836
1787363179.986556 RUNNING 3822592 3819877
1787363180.090273 RUNNING 3827712 3824869
1787363180.193758 RUNNING 3832832 3829814
1787363180.297463 RUNNING 3836928 3834807
1787363180.400837 RUNNING 3842048 3839751
1787363180.504563 RUNNING 3847168 3844744
1787363180.609852 RUNNING 3852288 3849785
