FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363281.261219 RUNNING 3188224 3187103
1787363281.364424 RUNNING 3193344 3192048
1787363281.467682 RUNNING 3198464 3196993
1787363281.573652 RUNNING 3203584 3202081
1787363281.680204 RUNNING 3208704 3207218
1787363281.783944 RUNNING 3213312 3212163
1787363281.891336 RUNNING 3218432 3217348
1787363281.994747 RUNNING 3223552 3222292
1787363282.097972 RUNNING  3227237
1787363282.201561 RUNNING 3233280 3232230
1787363282.305038 RUNNING 3238400 3237174
1787363282.408269 RUNNING 3243520 3242167
1787363282.512013 RUNNING 3248640 3247112
1787363282.615455 RUNNING 3253248 3252104
1787363282.718678 RUNNING 3258368 3257049
1787363282.822286 RUNNING 3263488 3262042
1787363282.926062 RUNNING 3268096 3266986
1787363283.029670 RUNNING 3273216 3271979
1787363283.133046 RUNNING 3278336 3276924
1787363283.236600 RUNNING 3282944 3281916
1787363283.339982 RUNNING 3288064 3286861
1787363283.443076 RUNNING 3293184 3291806
1787363283.546528 RUNNING 3298304 3296798
1787363283.651127 RUNNING  3301791
1787363283.756361 RUNNING 3308032 3306928
1787363283.862081 RUNNING 3313152 3311920
1787363283.965537 RUNNING 3318272 3316913
1787363284.069007 RUNNING 3323392 3321858
1787363284.172413 RUNNING 3328000 3326850
1787363284.275561 RUNNING 3333120 3331795
1787363284.379021 RUNNING 3338240 3336740
1787363284.482507 RUNNING 3342848 3341732
1787363284.585745 RUNNING 3347968 3346677
1787363284.689434 RUNNING 3353088 3351670
1787363284.796341 RUNNING 3358208 3356758
1787363284.900704 RUNNING 3363328 3361799
1787363285.005344 RUNNING 3367936 3366840
1787363285.110278 RUNNING 3373056 3371832
1787363285.217027 RUNNING 3378176 3376969
1787363285.320176 RUNNING 3383296 3381914
1787363285.423369 RUNNING 3387904 3386858
1787363285.526850 RUNNING 3393024 3391851
1787363285.630059 RUNNING 3398144 3396796
1787363285.733404 RUNNING 3403264 3401740
1787363285.836976 RUNNING 3407872 3406733
1787363285.940147 RUNNING 3412992 3411678
1787363286.043248 RUNNING 3418112 3416622
1787363286.146976 RUNNING 3422720 3421615
1787363286.251011 RUNNING 3427840 3426608
1787363286.355102 RUNNING 3432960 3431601
1787363286.459941 RUNNING 3438080 3436641
1787363286.566805 RUNNING 3443200 3441778
1787363286.670271 RUNNING 3447808 3446723
1787363286.773535 RUNNING 3452928 3451667
1787363286.877113 RUNNING 3458048 3456660
1787363286.980673 RUNNING 3462656 3461605
1787363287.084163 RUNNING 3467776 3466597
1787363287.187313 RUNNING 3472896 3471542
1787363287.290722 RUNNING 3478016 3476487
1787363287.394204 RUNNING 3482624 3481479
1787363287.497458 RUNNING 3488256 3486904
1787363287.611964 RUNNING 3493376 3491945
1787363287.715334 RUNNING 3497984 3496889
1787363287.818657 RUNNING 3503104 3501834
1787363287.921927 RUNNING 3508224 3506827
1787363288.025507 RUNNING 3512832 3511771
1787363288.129016 RUNNING 3517952 3516764
1787363288.232186 RUNNING 3523072 3521709
1787363288.335747 RUNNING 3527680 3526653
1787363288.439508 RUNNING 3532800 3531646
1787363288.542680 RUNNING 3537920 3536591
1787363288.645932 RUNNING 3543040 3541535
1787363288.749618 RUNNING 3547648 3546528
1787363288.854714 RUNNING 3552768 3551569
1787363288.959174 RUNNING 3557888 3556609
1787363289.064160 RUNNING 3563008 3561650
1787363289.168147 RUNNING 3568128 3566643
1787363289.271615 RUNNING 3572736 3571587
1787363289.374758 RUNNING 3577856 3576532
1787363289.477920 RUNNING 3582976 3581477
1787363289.581445 RUNNING 3587584 3586469
1787363289.684690 RUNNING 3592704 3591414
1787363289.787840 RUNNING 3597824 3596359
1787363289.891294 RUNNING 3602432 3601351
1787363289.994607 RUNNING 3607552 3606296
1787363290.097748 RUNNING 3612672 3611241
1787363290.200911 RUNNING 3617280 3616185
1787363290.304631 RUNNING 3622400 3621178
1787363290.408017 RUNNING 3627520 3626123
1787363290.512349 RUNNING 3632640 3631164
1787363290.620159 RUNNING 3637760 3636300
1787363290.723440 RUNNING 3642368 3641293
1787363290.827040 RUNNING 3647488 3646238
1787363290.930676 RUNNING 3652608 3651230
1787363291.037555 RUNNING 3657728 3656367
1787363291.141174 RUNNING 3662848 3661312
1787363291.244923 RUNNING 3667456 3666304
1787363291.348170 RUNNING 3672576 3671249
1787363291.451393 RUNNING 3677696 3676242
1787363291.575823 RUNNING 3683328 3682194
1787363291.679384 RUNNING 3688448 3687187
1787363291.782637 RUNNING 3693568 3692132
1787363291.886227 RUNNING 3698176 3697076
1787363291.989512 RUNNING 3703296 3702069
1787363292.092725 RUNNING 3708416 3707014
1787363292.196126 RUNNING 3713024 3711958
1787363292.299586 RUNNING 3718144 3716951
1787363292.402777 RUNNING 3723264 3721896
1787363292.506205 RUNNING 3727872 3726840
1787363292.609936 RUNNING 3732992 3731833
1787363292.713696 RUNNING 3738112 3736826
1787363292.817421 RUNNING 3743232 3741770
1787363292.922189 RUNNING 3747840 3746811
1787363293.026069 RUNNING 3752960 3751804
1787363293.130817 RUNNING 3758080 3756845
1787363293.235394 RUNNING 3763200 3761837
1787363293.340323 RUNNING 3768320 3766878
1787363293.450937 RUNNING 3773440 3772207
1787363293.554152 RUNNING 3778560 3777151
1787363293.657472 RUNNING 3783168 3782096
1787363293.761816 RUNNING 3788288 3787137
1787363293.865560 RUNNING 3793408 3792081
1787363293.969083 RUNNING 3798528 3797074
1787363294.072516 RUNNING 3803136 3802019
1787363294.175974 RUNNING 3808256 3807011
1787363294.280125 RUNNING 3813376 3812004
1787363294.388097 RUNNING 3818496 3817189
1787363294.491452 RUNNING 3823616 3822133
1787363294.595041 RUNNING 3828224 3827126
1787363294.698317 RUNNING 3833344 3832071
1787363294.801593 RUNNING 3838464 3837015
1787363294.905043 RUNNING 3843072 3842008
1787363295.008511 RUNNING 3848192 3846953
1787363295.111679 RUNNING 3853312 3851897
1787363295.214834 RUNNING 3857920 3856842
1787363295.318404 RUNNING 3863040 3861835
1787363295.422397 RUNNING 3868160 3866827
1787363295.525881 RUNNING 3873280 3871772
1787363295.629389 RUNNING 3877888 3876765
1787363295.733709 RUNNING 3883008 3881757
1787363295.839202 RUNNING 3888128 3886846
1787363295.944181 RUNNING 3893248 3891887
1787363296.063368 RUNNING 3898880 3897600
1787363296.166631 RUNNING 3904000 3902544
1787363296.270122 RUNNING 3908608 3907537
1787363296.373559 RUNNING 3913728 3912482
1787363296.476811 RUNNING 3918848 3917426
1787363296.580581 RUNNING 3923456 3922419
1787363296.684606 RUNNING 3928576 3927412
