
=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-22T11:05:36-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-22T19:05:36-04:00

=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-23T00:42:28-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-23T08:42:28-04:00
SENTINEL soak-loop-entered
./scripts/measure-soak-instrument.sh: line 174: MPE_METER_LAST_AGE_S: unbound variable
SENTINEL soak-aborted stage=soak-loop-minute rc=1

=== B2 RESTART after 8f138ec fix 2026-08-23T00:51:44-04:00 ===
pilot=PASS log=/home/mitch/instrument-soak-pilot-2026-08-23.log meter_age_s=0@minute1

=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-23T00:51:44-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-23T08:51:44-04:00
SENTINEL soak-loop-entered
SOAK minute=70 xruns_minute=4 xruns_total=242 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=71 xruns_minute=0 xruns_total=242 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=72 xruns_minute=6 xruns_total=248 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=73 xruns_minute=4 xruns_total=252 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=74 xruns_minute=6 xruns_total=258 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=75 xruns_minute=4 xruns_total=262 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=76 xruns_minute=2 xruns_total=264 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=77 xruns_minute=6 xruns_total=270 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=78 xruns_minute=0 xruns_total=270 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=79 xruns_minute=2 xruns_total=272 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=80 xruns_minute=9 xruns_total=281 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=81 xruns_minute=0 xruns_total=281 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=82 xruns_minute=8 xruns_total=289 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=83 xruns_minute=2 xruns_total=291 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=84 xruns_minute=4 xruns_total=295 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=85 xruns_minute=4 xruns_total=299 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=86 xruns_minute=10 xruns_total=309 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=87 xruns_minute=2 xruns_total=311 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=88 xruns_minute=2 xruns_total=313 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=89 xruns_minute=3 xruns_total=316 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=90 xruns_minute=0 xruns_total=316 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=91 xruns_minute=6 xruns_total=322 meter_live=1 meter_age_s=1 temp=46.7'C throttled=0x0
SOAK minute=92 xruns_minute=1 xruns_total=323 meter_live=1 meter_age_s=1 temp=46.2'C throttled=0x0
SOAK minute=93 xruns_minute=0 xruns_total=323 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=94 xruns_minute=2 xruns_total=325 meter_live=1 meter_age_s=1 temp=46.7'C throttled=0x0
SOAK minute=95 xruns_minute=0 xruns_total=325 meter_live=1 meter_age_s=1 temp=47.2'C throttled=0x0
SOAK minute=96 xruns_minute=1 xruns_total=326 meter_live=1 meter_age_s=1 temp=46.2'C throttled=0x0
SOAK minute=97 xruns_minute=2 xruns_total=328 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=98 xruns_minute=2 xruns_total=330 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=99 xruns_minute=0 xruns_total=330 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=100 xruns_minute=4 xruns_total=334 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=101 xruns_minute=2 xruns_total=336 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=102 xruns_minute=6 xruns_total=342 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=103 xruns_minute=3 xruns_total=345 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=104 xruns_minute=2 xruns_total=347 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=105 xruns_minute=0 xruns_total=347 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=106 xruns_minute=4 xruns_total=351 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=107 xruns_minute=4 xruns_total=355 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=108 xruns_minute=2 xruns_total=357 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=109 xruns_minute=6 xruns_total=363 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=110 xruns_minute=2 xruns_total=365 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=111 xruns_minute=0 xruns_total=365 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=112 xruns_minute=6 xruns_total=371 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=113 xruns_minute=4 xruns_total=375 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=114 xruns_minute=0 xruns_total=375 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=115 xruns_minute=0 xruns_total=375 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=116 xruns_minute=2 xruns_total=377 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=117 xruns_minute=8 xruns_total=385 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=118 xruns_minute=4 xruns_total=389 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=119 xruns_minute=2 xruns_total=391 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=120 xruns_minute=0 xruns_total=391 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK hour=2 minute=120 xruns_hour=187 xruns_total=391 meter_live=1 invalid_windows=0 temp=46.7'C throttled=0x0
SOAK minute=121 xruns_minute=0 xruns_total=391 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=122 xruns_minute=0 xruns_total=391 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
